Node,Distance_to_Midpoint
Node53,2.1272734898500003
Node57,2.30234875505
Node60,2.1828015369500005
Node61,2.2157515498500002
Node146,1.76218226365
Node157,1.78949969215
Node161,1.8229468867499998
Node166,1.7506893722499999
Node170,1.78359375185
Node172,1.81555673735
Node173,1.82133239515
Node178,1.8234407504499999
Node180,1.8344501629499999
Node241,2.14740013315
Node242,2.1735662988500004
Node259,1.80508361125
Node260,1.7245373088500002
Node269,1.6912496803500001
Node272,1.68686997795
Node288,1.77279776235
Node292,1.76235317155
Node294,1.7139430311500001
Node314,1.53924277335
Node338,1.68454046365
Node340,1.7071784581500002
Node342,1.8101276639500004
Node352,1.7963614045500003
Node370,1.51065991235
Node385,1.56072374775
Node389,1.51336586955
Node436,1.92155061945
Node461,2.2478602053500003
Node463,2.14700209655
Node477,1.73297342185
Node482,1.70419848675
Node502,2.09827426775
Node518,1.99187751815
Node556,1.8905178897500001
Node595,1.9170984579500001
Node603,1.92719806355
Node606,1.89926384915
Node608,1.9250086748500002
Node609,1.88733770455
Node617,2.02478329265
Node45,2.27516639835
Node54,2.20121017185
Node147,1.92249163595
Node148,1.82822852015
Node162,1.95070811555
Node167,1.7927500886499999
Node169,1.7786155164499997
Node174,1.9177320968499998
Node179,1.97211431715
Node261,1.7702341775500001
Node270,1.7506212274500002
Node273,1.82637989665
Node274,1.80674437745
Node293,1.95493082825
Node295,1.7827296508500001
Node296,1.8563699905500002
Node315,1.69729547695
Node339,1.8982021661500001
Node343,1.8621925633500003
Node350,1.9223649814500001
Node353,1.8556448412500002
Node371,1.52189757405
Node384,1.57196529395
Node386,1.6590697927500002
Node390,1.56016005495
Node393,1.5922738570500001
Node437,2.0100505171500003
Node478,1.76546187525
Node481,1.7770282740499999
Node483,1.74791260915
Node496,1.82448210045
Node557,1.91131368925
Node604,2.0584293377500003
Node610,1.92512893455
Node618,2.12900928185
Node46,2.2973191286500003
Node55,2.22743743525
Node149,1.85341415905
Node168,1.9848151962499998
Node175,2.0590485218500003
Node262,1.90227842355
Node263,1.88770649005
Node271,1.84910557395
Node344,1.9150373843500001
Node349,1.93799642955
Node351,1.9870078850500001
Node354,1.8860965169500001
Node356,1.9253737024500002
Node372,1.55014298535
Node382,1.6996000993500002
Node391,1.60232794095
Node392,1.63569947345
Node394,1.6934592489500002
Node479,1.8706787378499998
Node480,1.84627545025
Node484,1.79155830745
Node497,1.87084319405
Node558,1.93876429345
Node594,2.0037913040500004
Node605,2.1574058443500004
Node47,2.35116739055
Node150,1.9113486633499999
Node153,1.95030344345
Node264,1.94133266305
Node265,1.94484664605
Node345,1.9442110271500002
Node347,1.9623184725500002
Node355,1.9360972063500002
Node357,1.97272151175
Node360,2.0449281202500007
Node373,1.57727428605
Node381,1.61507814455
Node383,1.7566734733500002
Node485,1.83636860735
Node498,2.0155841902500002
Node559,1.9884864612500002
Node566,1.97642637375
Node48,2.3757675074500004
Node49,2.37444341715
Node151,2.05203913915
Node154,2.03549923965
Node155,1.9784804209499998
Node346,1.98330957585
Node348,2.00502854345
Node358,2.10006944765
Node361,2.1606351580500007
Node374,1.60287842235
Node379,1.6501731270500002
Node486,1.85384065325
Node489,1.85560047015
Node560,2.01443566975
Node567,2.01305715205
Node586,1.99771571755
Node50,2.5371048856500007
Node51,2.3964373083500004
Node152,2.15590050065
Node156,2.0389582719500003
Node359,2.1860146496500006
Node375,1.6607477885500002
Node378,1.8150677189500002
Node380,1.71659441235
Node487,1.92182023465
Node488,1.89412398945
Node490,1.88325955505
Node493,1.97984979445
Node561,2.03855092495
Node564,2.05592565105
Node568,2.11871163125
Node574,2.2398785333499998
Node587,2.02332954885
Node52,2.5845006148500005
Node376,1.7646442868500003
Node491,1.90346560215
Node494,2.02845950035
Node562,2.09342798235
Node563,2.0814182849500003
Node565,2.10845518975
Node569,2.13507896635
Node575,2.26997441205
Node585,2.28249686005
Node588,2.06825703395
Node592,2.04459620705
Node377,1.7979259184500003
Node492,2.04216083335
Node495,2.12318146905
Node570,2.1600095180500003
Node576,2.3434913981500003
Node582,2.32718879835
Node589,2.08760755165
Node593,2.08027297955
Node571,2.21280657185
Node577,2.3975316307500005
Node583,2.3956791829500004
Node590,2.11494038355
Node572,2.30007960025
Node578,2.42655817205
Node584,2.4344262930500005
Node591,2.2281235514499995
Node573,2.3550926296500005
Node579,2.48179485125
Node580,2.57110280685
Node581,2.6189854960500005
